timestamp,classifier,accuracy,n_mfcc,hop_length,n_fft,test_size
2024-11-30 16:34:31,Custom Naive Bayes,38.89%,12,128,512,0.1
2024-11-30 16:34:31,Custom Naive Bayes,36.81%,12,128,512,0.2
2024-11-30 16:34:31,Custom Naive Bayes,34.95%,12,128,512,0.3
2024-11-30 16:34:31,Custom Naive Bayes,32.81%,12,128,512,0.4
2024-11-30 16:34:31,Custom Naive Bayes,32.22%,12,128,512,0.5
2024-11-30 16:34:54,Custom Naive Bayes,34.03%,12,128,1024,0.1
2024-11-30 16:34:54,Custom Naive Bayes,30.90%,12,128,1024,0.2
2024-11-30 16:34:54,Custom Naive Bayes,32.64%,12,128,1024,0.3
2024-11-30 16:34:55,Custom Naive Bayes,31.42%,12,128,1024,0.4
2024-11-30 16:34:55,Custom Naive Bayes,30.69%,12,128,1024,0.5
2024-11-30 16:35:40,Custom Naive Bayes,36.11%,12,128,2048,0.1
2024-11-30 16:35:40,Custom Naive Bayes,31.94%,12,128,2048,0.2
2024-11-30 16:35:40,Custom Naive Bayes,34.03%,12,128,2048,0.3
2024-11-30 16:35:40,Custom Naive Bayes,33.68%,12,128,2048,0.4
2024-11-30 16:35:40,Custom Naive Bayes,32.36%,12,128,2048,0.5
2024-11-30 16:35:50,Custom Naive Bayes,42.36%,12,256,512,0.1
2024-11-30 16:35:50,Custom Naive Bayes,36.11%,12,256,512,0.2
2024-11-30 16:35:50,Custom Naive Bayes,35.42%,12,256,512,0.3
2024-11-30 16:35:50,Custom Naive Bayes,34.55%,12,256,512,0.4
2024-11-30 16:35:50,Custom Naive Bayes,34.31%,12,256,512,0.5
2024-11-30 16:36:04,Custom Naive Bayes,39.58%,12,256,1024,0.1
2024-11-30 16:36:04,Custom Naive Bayes,34.72%,12,256,1024,0.2
2024-11-30 16:36:04,Custom Naive Bayes,35.42%,12,256,1024,0.3
2024-11-30 16:36:04,Custom Naive Bayes,34.20%,12,256,1024,0.4
2024-11-30 16:36:04,Custom Naive Bayes,32.50%,12,256,1024,0.5
2024-11-30 16:36:28,Custom Naive Bayes,37.50%,12,256,2048,0.1
2024-11-30 16:36:28,Custom Naive Bayes,34.38%,12,256,2048,0.2
2024-11-30 16:36:28,Custom Naive Bayes,35.65%,12,256,2048,0.3
2024-11-30 16:36:28,Custom Naive Bayes,34.38%,12,256,2048,0.4
2024-11-30 16:36:28,Custom Naive Bayes,33.33%,12,256,2048,0.5
2024-11-30 16:36:34,Custom Naive Bayes,36.81%,12,512,512,0.1
2024-11-30 16:36:34,Custom Naive Bayes,33.33%,12,512,512,0.2
2024-11-30 16:36:34,Custom Naive Bayes,33.56%,12,512,512,0.3
2024-11-30 16:36:34,Custom Naive Bayes,31.08%,12,512,512,0.4
2024-11-30 16:36:34,Custom Naive Bayes,31.11%,12,512,512,0.5
2024-11-30 16:36:42,Custom Naive Bayes,36.81%,12,512,1024,0.1
2024-11-30 16:36:43,Custom Naive Bayes,32.99%,12,512,1024,0.2
2024-11-30 16:36:43,Custom Naive Bayes,33.80%,12,512,1024,0.3
2024-11-30 16:36:43,Custom Naive Bayes,33.68%,12,512,1024,0.4
2024-11-30 16:36:43,Custom Naive Bayes,31.53%,12,512,1024,0.5
2024-11-30 16:36:57,Custom Naive Bayes,36.11%,12,512,2048,0.1
2024-11-30 16:36:57,Custom Naive Bayes,35.42%,12,512,2048,0.2
2024-11-30 16:36:57,Custom Naive Bayes,35.19%,12,512,2048,0.3
2024-11-30 16:36:57,Custom Naive Bayes,32.29%,12,512,2048,0.4
