n_mfcc,hop_length,n_fft,test_size,accuracy
12,256,512,0.1,42.36111111111111
12,256,512,0.2,36.11111111111111
12,256,512,0.3,35.41666666666667
12,256,512,0.4,34.54861111111111
12,256,512,0.5,34.30555555555556
12,256,1024,0.1,39.58333333333333
12,256,1024,0.2,34.72222222222222
12,256,1024,0.3,35.41666666666667
12,256,1024,0.4,34.20138888888889
12,256,1024,0.5,32.5
12,256,2048,0.1,37.5
12,256,2048,0.2,34.375
12,256,2048,0.3,35.648148148148145
12,256,2048,0.4,34.375
12,256,2048,0.5,33.33333333333333
12,512,512,0.1,36.80555555555556
12,512,512,0.2,33.33333333333333
12,512,512,0.3,33.56481481481482
12,512,512,0.4,31.07638888888889
12,512,512,0.5,31.11111111111111
12,512,1024,0.1,36.80555555555556
12,512,1024,0.2,32.98611111111111
12,512,1024,0.3,33.7962962962963
12,512,1024,0.4,33.68055555555556
12,512,1024,0.5,31.52777777777778
12,512,2048,0.1,36.11111111111111
12,512,2048,0.2,35.41666666666667
12,512,2048,0.3,35.18518518518518
12,512,2048,0.4,32.29166666666667
12,512,2048,0.5,32.083333333333336
12,1024,512,0.1,40.27777777777778
12,1024,512,0.2,35.06944444444444
12,1024,512,0.3,32.407407407407405
12,1024,512,0.4,30.90277777777778
12,1024,512,0.5,31.944444444444443
12,1024,1024,0.1,36.11111111111111
12,1024,1024,0.2,34.02777777777778
12,1024,1024,0.3,31.48148148148148
12,1024,1024,0.4,31.770833333333332
12,1024,1024,0.5,30.555555555555557
12,1024,2048,0.1,40.97222222222222
12,1024,2048,0.2,35.41666666666667
12,1024,2048,0.3,32.63888888888889
12,1024,2048,0.4,32.11805555555556
12,1024,2048,0.5,31.805555555555554
16,256,512,0.1,40.97222222222222
16,256,512,0.2,33.68055555555556
16,256,512,0.3,34.25925925925926
16,256,512,0.4,31.944444444444443
16,256,512,0.5,34.166666666666664
16,256,1024,0.1,40.27777777777778
16,256,1024,0.2,34.72222222222222
16,256,1024,0.3,34.49074074074074
16,256,1024,0.4,34.375
16,256,1024,0.5,35.138888888888886
16,256,2048,0.1,39.58333333333333
16,256,2048,0.2,33.68055555555556
16,256,2048,0.3,34.49074074074074
16,256,2048,0.4,34.54861111111111
16,256,2048,0.5,33.19444444444444
16,512,512,0.1,38.88888888888889
16,512,512,0.2,35.06944444444444
16,512,512,0.3,32.870370370370374
16,512,512,0.4,30.555555555555557
16,512,512,0.5,30.138888888888886
16,512,1024,0.1,38.19444444444444
16,512,1024,0.2,36.45833333333333
16,512,1024,0.3,34.72222222222222
16,512,1024,0.4,32.98611111111111
16,512,1024,0.5,33.75
16,512,2048,0.1,39.58333333333333
16,512,2048,0.2,36.45833333333333
16,512,2048,0.3,35.879629629629626
16,512,2048,0.4,33.85416666666667
16,512,2048,0.5,33.88888888888889
16,1024,512,0.1,35.41666666666667
16,1024,512,0.2,32.29166666666667
16,1024,512,0.3,31.01851851851852
16,1024,512,0.4,30.208333333333332
16,1024,512,0.5,30.416666666666664
16,1024,1024,0.1,40.27777777777778
16,1024,1024,0.2,37.15277777777778
16,1024,1024,0.3,31.48148148148148
16,1024,1024,0.4,31.944444444444443
16,1024,1024,0.5,30.138888888888886
16,1024,2048,0.1,40.27777777777778
16,1024,2048,0.2,36.11111111111111
16,1024,2048,0.3,32.63888888888889
16,1024,2048,0.4,31.25
16,1024,2048,0.5,31.38888888888889
20,256,512,0.1,38.19444444444444
20,256,512,0.2,32.29166666666667
20,256,512,0.3,32.175925925925924
20,256,512,0.4,30.729166666666668
20,256,512,0.5,32.083333333333336
20,256,1024,0.1,36.11111111111111
20,256,1024,0.2,34.02777777777778
20,256,1024,0.3,34.25925925925926
20,256,1024,0.4,32.11805555555556
20,256,1024,0.5,30.833333333333336
20,256,2048,0.1,34.72222222222222
20,256,2048,0.2,31.944444444444443
20,256,2048,0.3,33.101851851851855
20,256,2048,0.4,32.63888888888889
20,256,2048,0.5,32.22222222222222
20,512,512,0.1,40.97222222222222
20,512,512,0.2,34.02777777777778
20,512,512,0.3,32.175925925925924
20,512,512,0.4,30.729166666666668
20,512,512,0.5,29.583333333333332
20,512,1024,0.1,36.80555555555556
20,512,1024,0.2,33.33333333333333
20,512,1024,0.3,33.101851851851855
20,512,1024,0.4,33.85416666666667
20,512,1024,0.5,32.5
20,512,2048,0.1,37.5
20,512,2048,0.2,34.375
20,512,2048,0.3,32.870370370370374
20,512,2048,0.4,32.29166666666667
20,512,2048,0.5,31.666666666666664
20,1024,512,0.1,37.5
20,1024,512,0.2,32.29166666666667
20,1024,512,0.3,31.25
20,1024,512,0.4,30.03472222222222
20,1024,512,0.5,29.583333333333332
20,1024,1024,0.1,38.88888888888889
20,1024,1024,0.2,35.41666666666667
20,1024,1024,0.3,31.944444444444443
20,1024,1024,0.4,31.25
20,1024,1024,0.5,30.138888888888886
20,1024,2048,0.1,40.97222222222222
20,1024,2048,0.2,33.68055555555556
20,1024,2048,0.3,31.712962962962965
20,1024,2048,0.4,30.729166666666668
20,1024,2048,0.5,29.583333333333332
24,256,512,0.1,35.41666666666667
24,256,512,0.2,31.25
24,256,512,0.3,29.86111111111111
24,256,512,0.4,28.125
24,256,512,0.5,30.694444444444446
24,256,1024,0.1,35.41666666666667
24,256,1024,0.2,34.375
24,256,1024,0.3,34.72222222222222
24,256,1024,0.4,32.29166666666667
24,256,1024,0.5,29.86111111111111
24,256,2048,0.1,33.33333333333333
24,256,2048,0.2,35.41666666666667
24,256,2048,0.3,34.02777777777778
24,256,2048,0.4,32.63888888888889
24,256,2048,0.5,30.833333333333336
24,512,512,0.1,40.97222222222222
24,512,512,0.2,32.63888888888889
